,Quarter,Time,Tm,Detail,CAR,KAN
0,1.0,11:49,Chiefs,Peyton Hillis 2 yard rush (Ryan Succop kick),0,7
1,1.0,8:46,Panthers,Greg Olsen 47 yard pass from Cam Newton (Graham Gano kick),7,7
2,1.0,3:20,Chiefs,Ryan Succop 42 yard field goal,7,10
3,2.0,13:27,Panthers,Steve Smith 23 yard pass from Cam Newton (Graham Gano kick),14,10
4,2.0,0:00,Chiefs,Tony Moeaki 1 yard pass from Brady Quinn (Ryan Succop kick),14,17
5,3.0,2:52,Chiefs,Jonathan Baldwin 3 yard pass from Brady Quinn (Ryan Succop kick),14,24
6,4.0,13:21,Panthers,Louis Murphy 8 yard pass from Cam Newton (Graham Gano kick),21,24
7,4.0,4:54,Chiefs,Ryan Succop 52 yard field goal,21,27
