,Quarter,Tm,Detail,MIN,CIN
0,1.0,Bengals,James Brooks 8 yard pass from Boomer Esiason (Jim Breech kick),0,7
1,1.0,Vikings,Chuck Nelson 24 yard field goal,3,7
2,1.0,Bengals,Stanley Wilson 2 yard rush (Jim Breech kick),3,14
3,1.0,Vikings,Darrin Nelson 3 yard rush (Chuck Nelson kick),10,14
4,1.0,Bengals,Stanley Wilson 5 yard rush (Jim Breech kick),10,21
5,2.0,Vikings,Wade Wilson 1 yard rush (Chuck Nelson kick),17,21
6,2.0,Vikings,Chuck Nelson 35 yard field goal,20,21
7,4.0,Bengals,Jim Breech 40 yard field goal,20,24
