,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,13:28,Redskins,Stephen Davis 2 yard rush (Brett Conway kick),7,0
1,1.0,9:11,Eagles,Norm Johnson 49 yard field goal,7,3
2,1.0,5:44,Redskins,Albert Connell 54 yard pass from Brad Johnson (Brett Conway kick),14,3
3,1.0,5:29,Eagles,Allen Rossum 89 yard kickoff return (Norm Johnson kick),14,10
4,2.0,13:00,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),21,10
5,2.0,0:23,Eagles,Norm Johnson 29 yard field goal,21,13
6,3.0,8:42,Eagles,Norm Johnson 20 yard field goal,21,16
7,3.0,0:08,Eagles,Duce Staley 20 yard rush (Donovan McNabb run),21,24
8,4.0,11:33,Eagles,Norm Johnson 30 yard field goal,21,27
9,4.0,11:33,Redskins,Michael Westbrook 43 yard pass from Brad Johnson (Brett Conway kick),28,27
10,4.0,3:38,Eagles,Eric Bieniemy 11 yard rush (Jed Weaver pass from Donovan McNabb),28,35
