,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,Rueben Mayes 9 yard rush (Morten Andersen kick),0,7
1,1.0,Saints,Morten Andersen 31 yard field goal,0,10
2,2.0,Saints,Rueben Mayes 1 yard rush (Morten Andersen kick),0,17
3,3.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),0,24
4,4.0,Buccaneers,Steve DeBerg 1 yard rush (Donald Igwebuike kick),7,24
5,4.0,Saints,Eric Martin 21 yard pass from Dave Wilson (Morten Andersen kick),7,31
6,4.0,Saints,Dalton Hilliard 7 yard rush (Morten Andersen kick),7,38
