,Quarter,Tm,Detail,DET,MIN
0,1.0,Lions,Errol Mann 22 yard field goal,3,0
1,2.0,Vikings,Fred Cox 35 yard field goal,3,3
2,2.0,Vikings,Stu Voigt 4 yard pass from Fran Tarkenton (Fred Cox kick),3,10
3,2.0,Vikings,Fred Cox 28 yard field goal,3,13
4,3.0,Vikings,Ed Marinaro 10 yard pass from Fran Tarkenton (Fred Cox kick),3,20
5,3.0,Vikings,"Safety, Beamon tackled Munson in end zone",3,22
6,3.0,Vikings,Fred Cox 32 yard field goal,3,25
7,4.0,Lions,Charlie Sanders 2 yard pass from Bill Munson (Errol Mann kick),10,25
8,4.0,Lions,Errol Mann 42 yard field goal,13,25
9,4.0,Lions,Jon Staggers 5 yard pass from Bill Munson,19,25
