,Quarter,Tm,Detail,PIT,CLE
0,2.0,Browns,Fred Banks 17 yard pass from Gary Danielson (Matt Bahr kick),0,7
1,3.0,Browns,Matt Bahr 18 yard field goal,0,10
2,4.0,Steelers,John Stallworth 6 yard pass from Mark Malone (Gary Anderson kick),7,10
3,4.0,Browns,Earnest Byner 21 yard rush (Matt Bahr kick),7,17
