,Quarter,Tm,Detail,WAS,GNB
0,1.0,Packers,Clarke Hinkle 2 yard rush (Ernie Smith kick),0,7
1,2.0,Packers,Hank Bruder 9 yard pass from Cecil Isbell (Cecil Isbell kick),0,14
2,2.0,Redskins,Andy Farkas 7 yard rush (Bo Russell kick),7,14
3,2.0,Packers,Tiny Engebretsen 15 yard field goal,7,17
4,4.0,Packers,Joe Laws 3 yard rush (Cecil Isbell kick),7,24
5,4.0,Redskins,Dick Todd 59 yard pass from Frank Filchock (Bo Russell kick),14,24
