,Quarter,Tm,Detail,NYJ,KAN
0,1.0,Jets,Pat Leahy 39 yard field goal,3,0
1,2.0,Chiefs,Nick Lowery 42 yard field goal,3,3
2,3.0,Chiefs,Nick Lowery 43 yard field goal,3,6
3,3.0,Jets,Pat Leahy 24 yard field goal,6,6
4,3.0,Chiefs,Nick Lowery 18 yard field goal,6,9
5,4.0,Jets,Al Toon 18 yard pass from Ken O'Brien (Pat Leahy kick),13,9
6,4.0,Jets,Pat Leahy 21 yard field goal,16,9
