,Quarter,Tm,Detail,OOR,STL
0,1,All-Stars,Pete Casey unknown yard pass from Eber Simpson (Dick King kick),0,7
1,2,All-Stars,Pete Casey fumble recovery in end zone (Dick King kick),0,14
2,3,Indians,unknown yard pass from Jim Thorpe,6,14
