,Quarter,Tm,Detail,DEN,BUF
0,2.0,Bills,Don Beebe 64 yard pass from Jim Kelly (Steve Christie kick),0,7
1,2.0,Bills,Jim Kelly 2 yard rush (Steve Christie kick),0,14
2,2.0,Bills,Thurman Thomas 11 yard rush (Steve Christie kick),0,21
3,3.0,Bills,Steve Christie 29 yard field goal,0,24
4,3.0,Broncos,Shannon Sharpe 1 yard pass from Tommy Maddox (David Treadwell kick),7,24
5,4.0,Broncos,David Treadwell 26 yard field goal,10,24
6,4.0,Broncos,Greg Lewis 1 yard rush (David Treadwell kick),17,24
7,4.0,Bills,Steve Christie 25 yard field goal,17,27
