,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,7:38,Bears,Thomas Jones 2 yard rush (Paul Edinger kick),0,7
1,2.0,0:16,Lions,Jason Hanson 27 yard field goal,3,7
2,3.0,12:17,Lions,Bracy Walker 92 yard blocked field goal return (Jason Hanson kick),10,7
3,3.0,7:37,Lions,Jason Hanson 21 yard field goal,13,7
4,4.0,12:40,Bears,Thomas Jones 2 yard rush (Paul Edinger kick),13,14
5,4.0,9:54,Lions,Az-Zahir Hakim 4 yard pass from Joey Harrington (Jason Hanson kick),20,14
6,4.0,1:53,Bears,"Safety,",20,16
