,Quarter,Tm,Detail,SEA,KAN
0,1.0,Chiefs,J.J. Birden 72 yard pass from Dave Krieg (Nick Lowery kick),0,7
1,2.0,Seahawks,Paul Green 3 yard pass from Kelly Stouffer (John Kasay kick),7,7
2,2.0,Chiefs,Nick Lowery 26 yard field goal,7,10
3,2.0,Chiefs,Nick Lowery 32 yard field goal,7,13
4,3.0,Chiefs,Lonnie Marts 36 yard interception return (Nick Lowery kick),7,20
5,4.0,Chiefs,Barry Word 2 yard rush,7,26
