,Quarter,Tm,Detail,ATL,NOR
0,1.0,Falcons,Mick Luckhurst 48 yard field goal,3,0
1,2.0,Falcons,Gerald Riggs 2 yard rush (Mick Luckhurst kick),10,0
2,2.0,Falcons,Mick Luckhurst 31 yard field goal,13,0
3,4.0,Falcons,Mick Luckhurst 22 yard field goal,16,0
4,4.0,Saints,Eric Martin 9 yard pass from Bobby Hebert (Morten Andersen kick),16,7
5,4.0,Saints,Morten Andersen 28 yard field goal,16,10
