,Quarter,Tm,Detail,NYG,GNB
0,2.0,Giants,Dale Burnett 45 yard touchdown on a lateral (Ken Strong kick),7,0
1,3.0,Packers,Hank Bruder 65 yard interception return,7,6
2,4.0,Packers,Bob Monnett 17 yard field goal,7,9
3,4.0,Packers,Cal Hubbard 8 yard interception return (Bob Monnett kick),7,16
