,Quarter,Tm,Detail,RAM,MIN
0,1,Vikings,Bill Brown 17 yard pass from Gary Cuozzo (Fred Cox kick),0,7
1,2,Vikings,Fred Cox 13 yard field goal,0,10
2,3,Rams,David Ray 23 yard field goal,3,10
3,4,Vikings,Fred Cox 25 yard field goal,3,13
