,Quarter,Tm,Detail,GNB,KAN
0,1.0,Packers,Curly Lambeau 40 yard field goal,3,0
1,3.0,Packers,Tillie Voss unknown yard pass from Curly Lambeau (Cub Buck kick),10,0
2,4.0,Packers,Tillie Voss 12 yard pass from Curly Lambeau (extra point pass successful),17,0
3,4.0,Blues,Dutch Strauss 9 yard rush,17,6
