,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Swede Hanson unknown yard rush,0,6
1,3.0,Eagles,Joe Carter unknown yard pass from Red Kirkman (Red Kirkman kick),0,13
2,3.0,Eagles,Joe Carter unknown yard pass from Red Kirkman,0,19
3,4.0,Pirates,Angelo Brovelli unknown yard rush,6,19
4,4.0,Eagles,Lee Woodruff unknown yard rush,6,25
