,Quarter,Time,Tm,Detail,NYJ,CHI
0,1.0,,Jets,John Hall 34 yard field goal,3,0
1,1.0,,Jets,Keyshawn Johnson 35 yard pass from Glenn Foley (John Hall kick),10,0
2,2.0,,Jets,John Hall 36 yard field goal,13,0
3,2.0,,Jets,John Hall 34 yard field goal,16,0
4,2.0,,Jets,Otis Smith 38 yard interception return (John Hall kick),23,0
5,3.0,,Bears,Chris Penn 4 yard pass from Erik Kramer (Jeff Jaeger kick),23,7
6,4.0,,Bears,Ricky Proehl 5 yard pass from Erik Kramer (Darnell Autry run),23,15
