,Quarter,Tm,Detail,STL,PIT
0,1.0,Steelers,Dick Hoak 1 yard rush (Booth Lusteg kick),0,7
1,1.0,Cardinals,Jim Bakken 22 yard field goal,3,7
2,2.0,Steelers,Booth Lusteg 24 yard field goal,3,10
3,4.0,Cardinals,Jackie Smith 34 yard rush (Jim Bakken kick),10,10
4,4.0,Cardinals,Jim Bakken 16 yard field goal,13,10
5,4.0,Cardinals,Cid Edwards 1 yard rush (Jim Bakken kick),20,10
