,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Jim Doran 75 yard pass from Eddie LeBaron (Fred Cone kick),0,7
1,1.0,Cowboys,Fred Dugan 7 yard pass from Eddie LeBaron (Fred Cone kick),0,14
2,1.0,Steelers,Preston Carpenter 28 yard pass from Bobby Layne (Bobby Layne kick),7,14
3,2.0,Cowboys,Don McIlhenny 5 yard rush (Fred Cone kick),7,21
4,2.0,Steelers,Jimmy Orr 6 yard pass from Bobby Layne (Bobby Layne kick),14,21
5,3.0,Steelers,Buddy Dial 70 yard pass from Tom Tracy (Bobby Layne kick),21,21
6,3.0,Cowboys,Jim Doran 54 yard pass from Eddie LeBaron (Fred Cone kick),21,28
7,3.0,Steelers,Preston Carpenter 49 yard pass from Bobby Layne (Bobby Layne kick),28,28
8,4.0,Steelers,Tom Tracy 65 yard pass from Bobby Layne (Bobby Layne kick),35,28
