,Quarter,Tm,Detail,CLE,PIT
0,2.0,Browns,Gary Collins 24 yard pass from Frank Ryan,6,0
1,2.0,Steelers,Mike Clark 28 yard field goal,6,3
2,3.0,Steelers,Mike Clark 25 yard field goal,6,6
3,4.0,Steelers,Gary Ballman 8 yard pass from Ron Smith (Mike Clark kick),6,13
4,4.0,Steelers,Mike Clark 42 yard field goal,6,16
