,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,Brent Jones 18 yard pass from Joe Montana (Mike Cofer kick),0,7
1,1.0,Redskins,Ricky Sanders 15 yard pass from Doug Williams (Chip Lohmiller kick),7,7
2,2.0,49ers,Mike Cofer 52 yard field goal,7,10
3,2.0,49ers,John Taylor 95 yard punt return (Mike Cofer kick),7,17
4,2.0,49ers,Tom Rathman 1 yard rush,7,23
5,3.0,Redskins,Ricky Sanders 4 yard pass from Doug Williams (Chip Lohmiller kick),14,23
6,4.0,49ers,Joe Montana 4 yard rush (Mike Cofer kick),14,30
7,4.0,49ers,Jerry Rice 80 yard pass from Joe Montana (Mike Cofer kick),14,37
8,4.0,Redskins,Art Monk 18 yard pass from Doug Williams (Chip Lohmiller kick),21,37
