,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Wes Chandler 26 yard pass from Archie Manning (Benny Ricardo kick),7,0
1,1.0,Falcons,Tim Mazzetti 19 yard field goal,7,3
2,2.0,Falcons,Alfred Jackson 47 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,10
3,3.0,Falcons,Steve Bartkowski 1 yard rush (Tim Mazzetti kick),7,17
4,4.0,Falcons,Wallace Francis 5 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,24
5,4.0,Falcons,Junior Miller 10 yard pass from Steve Bartkowski (Tim Mazzetti kick),7,31
6,4.0,Saints,Tony Galbreath 3 yard pass from Bobby Scott,13,31
