,Quarter,Time,Tm,Detail,DAL,BAL
0,1.0,11:25,Ravens,Qadry Ismail 40 yard pass from Trent Dilfer (Matt Stover kick),0,7
1,1.0,5:02,Ravens,Matt Stover 25 yard field goal,0,10
2,2.0,2:07,Ravens,Shannon Sharpe 59 yard pass from Trent Dilfer (Matt Stover kick),0,17
3,4.0,7:42,Ravens,Matt Stover 19 yard field goal,0,20
4,4.0,3:52,Ravens,Priest Holmes 5 yard rush (Matt Stover kick),0,27
