,Quarter,Tm,Detail,COL,DAY
0,1.0,Tigers,unknown yard field goal,3,0
1,1.0,Triangles,Frank Bacon 80 yard fumble return,3,6
2,3.0,Tigers,Buddy Tynes 30 yard pass from Sonny Winters (Sonny Winters kick),10,6
3,4.0,Tigers,Buddy Tynes 30 yard rush (Sonny Winters kick),17,6
