,Quarter,Tm,Detail,MIN,PHI
0,2.0,Eagles,Horst Muhlmann 19 yard field goal,0,3
1,2.0,Eagles,Harold Carmichael 3 yard pass from Mike Boryla,0,9
2,2.0,Vikings,Ahmad Rashad 5 yard pass from Fran Tarkenton (Fred Cox kick),7,9
3,3.0,Vikings,Fred Cox 32 yard field goal,10,9
4,3.0,Vikings,Sammy White 35 yard pass from Fran Tarkenton (Fred Cox kick),17,9
5,4.0,Eagles,Horst Muhlmann 21 yard field goal,17,12
6,4.0,Vikings,Chuck Foreman 32 yard rush (Fred Cox kick),24,12
7,4.0,Vikings,Chuck Foreman 2 yard rush (Fred Cox kick),31,12
