,Quarter,Tm,Detail,PIT,CLE
0,1.0,Browns,Matt Bahr 32 yard field goal,0,3
1,2.0,Browns,Derek Tennell 2 yard pass from Bernie Kosar (Matt Bahr kick),0,10
2,2.0,Browns,Frank Minnifield 11 yard blocked punt return (Matt Bahr kick),0,17
3,2.0,Steelers,Rodney Carter 1 yard rush (Gary Anderson kick),7,17
4,3.0,Browns,Reggie Langhorne 77 yard pass from Bernie Kosar (Matt Bahr kick),7,24
5,4.0,Browns,Matt Bahr 34 yard field goal,7,27
