,Quarter,Time,Tm,Detail,PHI,STL
0,1.0,12:00,Rams,Isaac Bruce 5 yard pass from Kurt Warner (Jeff Wilkins kick),0,7
1,1.0,5:44,Eagles,David Akers 46 yard field goal,3,7
2,1.0,1:06,Rams,Jeff Wilkins 27 yard field goal,3,10
3,2.0,6:56,Eagles,Duce Staley 1 yard rush (David Akers kick),10,10
4,2.0,3:52,Rams,Jeff Wilkins 39 yard field goal,10,13
5,2.0,0:46,Eagles,Todd Pinkston 12 yard pass from Donovan McNabb (David Akers kick),17,13
6,3.0,8:01,Rams,Jeff Wilkins 41 yard field goal,17,16
7,3.0,1:18,Rams,Marshall Faulk 1 yard rush (pass failed),17,22
8,4.0,6:55,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),17,29
9,4.0,2:56,Eagles,Donovan McNabb 3 yard rush (David Akers kick),24,29
