,Quarter,Tm,Detail,SFO,KAN
0,2.0,Chiefs,Jan Stenerud 19 yard field goal,0,3
1,2.0,49ers,Tom Mitchell 24 yard pass from Norm Snead (Steve Mike-Mayer kick),7,3
2,2.0,49ers,Steve Mike-Mayer 19 yard field goal,10,3
3,3.0,49ers,Steve Mike-Mayer 29 yard field goal,13,3
4,4.0,49ers,Larry Schreiber 5 yard rush (Steve Mike-Mayer kick),20,3
