,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,,Cowboys,Chris Boniol 24 yard field goal,0,3
1,2.0,3:56,Eagles,Gary Anderson 26 yard field goal,3,3
2,2.0,3:56,Cowboys,Deion Sanders 21 yard rush (Chris Boniol kick),3,10
3,2.0,3:56,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),3,17
4,3.0,3:56,Cowboys,Chris Boniol 18 yard field goal,3,20
5,3.0,3:56,Cowboys,Chris Boniol 51 yard field goal,3,23
6,4.0,3:56,Cowboys,Michael Irvin 9 yard pass from Troy Aikman (Chris Boniol kick),3,30
7,4.0,3:56,Eagles,Randall Cunningham 4 yard rush (Reggie Johnson pass from Randall Cunningham),11,30
