,Quarter,Tm,Detail,BAL,DET
0,1.0,Lions,Leon Hart 5 yard rush (Bobby Layne kick),0,7
1,2.0,Colts,Bert Rechichar 46 yard field goal,3,7
2,2.0,Lions,Bobby Layne 11 yard field goal,3,10
3,2.0,Lions,Bobby Layne 10 yard field goal,3,13
4,3.0,Lions,Dave Middleton 4 yard pass from Bobby Layne (Bobby Layne kick),3,20
5,3.0,Lions,Gene Gedman 5 yard rush (Bobby Layne kick),3,27
