,Quarter,Time,Tm,Detail,CHI,SEA
0,1.0,5:16,Seahawks,Stephen Hauschka 31 yard field goal,0,3
1,2.0,0:00,Seahawks,Stephen Hauschka 21 yard field goal,0,6
2,3.0,14:48,Seahawks,Tyler Lockett 105 yard kickoff return (Stephen Hauschka kick),0,13
3,3.0,4:28,Seahawks,Jimmy Graham 30 yard pass from Russell Wilson (Stephen Hauschka kick),0,20
4,4.0,14:03,Seahawks,Stephen Hauschka 45 yard field goal,0,23
5,4.0,6:16,Seahawks,Stephen Hauschka 48 yard field goal,0,26
