,Quarter,Time,Tm,Detail,NYG,LAR
0,1.0,11:15,Rams,Tavon Austin 10 yard pass from Case Keenum (Greg Zuerlein kick),0,7
1,1.0,5:13,Rams,Greg Zuerlein 36 yard field goal,0,10
2,2.0,8:15,Giants,Robbie Gould 29 yard field goal,3,10
3,2.0,7:10,Giants,Landon Collins 44 yard interception return (Robbie Gould kick),10,10
4,4.0,9:23,Giants,Rashad Jennings 1 yard rush (Robbie Gould kick),17,10
