,Quarter,Time,Tm,Detail,TEN,CIN
0,2.0,11:06,Titans,LenDale White 1 yard rush (Rob Bironas kick),7,0
1,2.0,3:16,Bengals,Chris Perry 13 yard rush (Shayne Graham kick),7,7
2,2.0,0:38,Titans,Justin Gage 11 yard pass from Kerry Collins (Rob Bironas kick),14,7
3,3.0,4:49,Titans,Rob Bironas 34 yard field goal,17,7
4,4.0,14:05,Titans,Keith Bulluck blocked punt recovery in end zone (Rob Bironas kick),24,7
