,Quarter,Tm,Detail,BAL,MIN
0,2.0,Vikings,Hal Bedsole 6 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,2.0,Colts,Lou Michaels 17 yard field goal,3,7
2,2.0,Colts,Jimmy Orr 43 yard pass from Gary Cuozzo (Lou Michaels kick),10,7
3,3.0,Colts,Jimmy Orr 22 yard pass from Gary Cuozzo (Lou Michaels kick),17,7
4,3.0,Vikings,Paul Flatley 17 yard pass from Fran Tarkenton (Fred Cox kick),17,14
5,3.0,Colts,Lenny Moore 29 yard pass from Gary Cuozzo (Lou Michaels kick),24,14
6,3.0,Colts,Raymond Berry 6 yard pass from Gary Cuozzo (Lou Michaels kick),31,14
7,4.0,Colts,Lou Michaels 38 yard field goal,34,14
8,4.0,Colts,Willie Richardson 14 yard pass from Gary Cuozzo (Lou Michaels kick),41,14
9,4.0,Vikings,Lance Rentzel 101 yard kickoff return (Fred Cox kick),41,21
