,Quarter,Time,Tm,Detail,SEA,DEN
0,1.0,9:04,Seahawks,Will Dissly 15 yard pass from Russell Wilson (Sebastian Janikowski kick),7,0
1,1.0,6:10,Broncos,Phillip Lindsay 29 yard pass from Case Keenum (Brandon McManus kick),7,7
2,2.0,13:59,Seahawks,Sebastian Janikowski 35 yard field goal,10,7
3,2.0,10:29,Broncos,Emmanuel Sanders 43 yard pass from Case Keenum (Brandon McManus kick),10,14
4,2.0,5:25,Broncos,Brandon McManus 51 yard field goal,10,17
5,3.0,6:02,Seahawks,Brandon Marshall 20 yard pass from Russell Wilson (Sebastian Janikowski kick),17,17
6,3.0,2:01,Broncos,Brandon McManus 53 yard field goal,17,20
7,4.0,14:46,Seahawks,Tyler Lockett 51 yard pass from Russell Wilson (Sebastian Janikowski kick),24,20
8,4.0,11:11,Broncos,Demaryius Thomas 4 yard pass from Case Keenum (Brandon McManus kick),24,27
