,Quarter,Tm,Detail,CIN,CHI
0,1.0,Bengals,James Brooks 4 yard pass from Boomer Esiason (Jim Gallery kick),7,0
1,2.0,Bears,Mike Tomczak 11 yard rush (Kevin Butler kick),7,7
2,3.0,Bengals,Ickey Woods 5 yard rush (Jim Gallery kick),14,7
3,3.0,Bears,Kevin Butler 29 yard field goal,14,10
4,4.0,Bears,James Thornton 20 yard pass from Mike Tomczak (Kevin Butler kick),14,17
