,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Fred Cox 15 yard field goal,0,3
1,1.0,Vikings,Dale Hackbart 41 yard interception return (Fred Cox kick),0,10
2,2.0,Lions,Garo Yepremian 33 yard field goal,3,10
3,2.0,Lions,Garo Yepremian 26 yard field goal,6,10
4,2.0,Lions,Garo Yepremian 15 yard field goal,9,10
5,2.0,Lions,Garo Yepremian 20 yard field goal,12,10
6,3.0,Vikings,Dave Osborn 2 yard rush (Fred Cox kick),12,17
7,3.0,Vikings,Bill Brown 12 yard rush (Fred Cox kick),12,24
8,3.0,Lions,Garo Yepremian 28 yard field goal,15,24
9,3.0,Lions,Garo Yepremian 32 yard field goal,18,24
10,4.0,Lions,Mike Lucci 63 yard interception return (Garo Yepremian kick),25,24
11,4.0,Lions,Bobby Felts 3 yard rush (Garo Yepremian kick),32,24
12,4.0,Vikings,Billy Ray Barnes 3 yard rush (Fred Cox kick),32,31
