,Quarter,Tm,Detail,TOL,COL
0,2.0,Tigers,Bob Rapp 42 yard pass from Sonny Winters,0,6
1,2.0,Tigers,Gus Tebell unknown yard field goal,0,9
2,4.0,Tigers,Paul Goebel 8 yard pass from Sonny Winters (Gus Tebell kick),0,16
