,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,,Jets,Leon Johnson 1 yard rush (John Hall kick),0,7
1,2.0,,Dolphins,Karim Abdul-Jabbar 36 yard pass from Dan Marino (Olindo Mare kick),7,7
2,2.0,,Jets,Keyshawn Johnson 7 yard pass from Neil O'Donnell (John Hall kick),7,14
3,2.0,,Dolphins,Lamar Thomas 22 yard pass from Dan Marino (Olindo Mare kick),14,14
4,2.0,,Dolphins,Olindo Mare 23 yard field goal,17,14
5,4.0,,Dolphins,O.J. McDuffie 4 yard fumble return (Olindo Mare kick),24,14
6,4.0,,Dolphins,Irving Spikes 8 yard rush (Olindo Mare kick),31,14
7,4.0,,Jets,Wayne Chrebet 8 yard pass from Neil O'Donnell (pass failed),31,20
