,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,6:30,Lions,Johnnie Morton 13 yard pass from Charlie Batch (Jason Hanson kick),7,0
1,2.0,0:18,Lions,Germane Crowell 36 yard pass from Charlie Batch (Jason Hanson kick),14,0
2,3.0,8:40,Bears,Marcus Robinson 55 yard pass from Cade McNown (Paul Edinger kick),14,7
3,3.0,3:13,Bears,Cade McNown 14 yard rush (Paul Edinger kick),14,14
4,4.0,9:36,Lions,James Stewart 1 yard rush (Jason Hanson kick),21,14
