,Quarter,Tm,Detail,RAI,HOU
0,1.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,0
1,1.0,Oilers,Allen Pinkett 3 yard rush (Tony Zendejas kick),7,7
2,2.0,Raiders,Willie Gault 42 yard pass from Steve Beuerlein (Chris Bahr kick),14,7
3,2.0,Raiders,Tim Brown 4 yard pass from Steve Beuerlein (Chris Bahr kick),21,7
4,2.0,Oilers,Allen Pinkett 1 yard rush (Tony Zendejas kick),21,14
5,2.0,Raiders,Steve Smith 9 yard pass from Steve Beuerlein (Chris Bahr kick),28,14
6,2.0,Oilers,Drew Hill 16 yard pass from Cody Carlson (Tony Zendejas kick),28,21
7,3.0,Oilers,Tony Zendejas 19 yard field goal,28,24
8,4.0,Oilers,Ernest Givins 12 yard pass from Cody Carlson (Tony Zendejas kick),28,31
9,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),35,31
10,4.0,Oilers,Allen Pinkett 6 yard rush (Tony Zendejas kick),35,38
