,Quarter,Tm,Detail,NWE,KAN
0,1.0,Patriots,Tim Goad 19 yard defensive fumble return (Charlie Baumann kick),7,0
1,1.0,Chiefs,Nick Lowery 30 yard field goal,7,3
2,1.0,Patriots,Leonard Russell 3 yard rush,13,3
3,2.0,Chiefs,Nick Lowery 26 yard field goal,13,6
4,3.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),13,13
5,4.0,Chiefs,Charles Mincy 30 yard defensive fumble return (Nick Lowery kick),13,20
6,4.0,Chiefs,Willie Davis 43 yard pass from Dave Krieg (Nick Lowery kick),13,27
7,4.0,Patriots,Kevin Turner 6 yard pass from Jeff Carlson (Charlie Baumann kick),20,27
