,Quarter,Tm,Detail,NYG,CLE
0,2.0,Giants,Pete Gogolak 20 yard field goal,3,0
1,2.0,Giants,Bob Tucker 20 yard pass from Norm Snead (Pete Gogolak kick),10,0
2,3.0,Browns,Don Cockroft 11 yard field goal,10,3
3,3.0,Browns,Don Cockroft 27 yard field goal,10,6
4,4.0,Browns,Don Cockroft 30 yard field goal,10,9
5,4.0,Browns,Don Cockroft 10 yard field goal,10,12
