,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,,Patriots,Adam Vinatieri 42 yard field goal,3,0
1,1.0,,Bills,Steve Christie 33 yard field goal,3,3
2,2.0,,Bills,Thurman Thomas 4 yard rush (Steve Christie kick),3,10
3,3.0,,Patriots,Terry Glenn 37 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,10
4,4.0,,Bills,Quinn Early 63 yard pass from Jim Kelly (Steve Christie kick),10,17
