,Quarter,Tm,Detail,NOR,NWE
0,1.0,Saints,Quinn Early 9 yard pass from Bobby Hebert (Morten Andersen kick),7,0
1,1.0,Saints,Quinn Early 39 yard pass from Bobby Hebert (Morten Andersen kick),14,0
2,2.0,Patriots,Leonard Russell 8 yard rush (Charlie Baumann kick),14,7
3,2.0,Saints,Dalton Hilliard 12 yard pass from Bobby Hebert (Morten Andersen kick),21,7
4,3.0,Saints,Vaughn Dunbar 1 yard rush (Morten Andersen kick),28,7
5,4.0,Saints,Morten Andersen 46 yard field goal,31,7
6,4.0,Patriots,Vincent Brown 49 yard interception return (Charlie Baumann kick),31,14
