,Quarter,Time,Tm,Detail,NYJ,DEN
0,2.0,14:54,Jets,Braylon Edwards 32 yard pass from Mark Sanchez (Nick Folk kick),7,0
1,2.0,11:11,Broncos,Tim Tebow 5 yard rush (Matt Prater kick),7,7
2,2.0,0:00,Broncos,Matt Prater 59 yard field goal,7,10
3,3.0,6:41,Jets,Nick Folk 56 yard field goal,10,10
4,3.0,1:23,Broncos,Demaryius Thomas 17 yard pass from Kyle Orton (Matt Prater kick),10,17
5,4.0,8:36,Jets,LaDainian Tomlinson 20 yard rush (Nick Folk kick),17,17
6,4.0,3:55,Broncos,Matt Prater 48 yard field goal,17,20
7,4.0,1:13,Jets,LaDainian Tomlinson 2 yard rush (Nick Folk kick),24,20
