,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,Val Jansante 7 yard pass from Steve Lach (Joe Glamp kick),7,0
1,2.0,Giants,Victor Carroll 18 yard pass from Paul Governali (Ken Strong kick),7,7
2,2.0,Steelers,Steve Lach 1 yard rush (Joe Glamp kick),14,7
3,2.0,Steelers,Steve Lach 1 yard rush (Joe Glamp kick),21,7
4,2.0,Steelers,Joe Glamp 37 yard field goal,24,7
5,3.0,Steelers,Bill Garnaas 68 yard pass from Johnny Clement (Joe Glamp kick),31,7
6,3.0,Giants,Jim Blumenstock 1 yard rush (Ken Strong kick),31,14
7,4.0,Steelers,Frank Sinkovitz 47 yard interception return (Joe Glamp kick),38,14
8,4.0,Giants,Howie Livingston 65 yard pass from Paul Governali (Ken Strong kick),38,21
