,Quarter,Tm,Detail,PHO,PHI
0,1.0,Eagles,Marvin Hargrove 34 yard pass from Randall Cunningham (Roger Ruzek kick),0,7
1,1.0,Eagles,Randall Cunningham 1 yard rush (Roger Ruzek kick),0,14
2,2.0,Cardinals,Johnny Johnson 22 yard rush (Al Del Greco kick),7,14
3,3.0,Cardinals,Anthony Thompson 1 yard rush (Al Del Greco kick),14,14
4,3.0,Eagles,Heath Sherman 2 yard pass from Randall Cunningham (Roger Ruzek kick),14,21
5,4.0,Cardinals,Al Del Greco 25 yard field goal,17,21
6,4.0,Cardinals,Al Del Greco 50 yard field goal,20,21
7,4.0,Cardinals,Al Del Greco 42 yard field goal,23,21
