,Quarter,Tm,Detail,CHI,ATL
0,1.0,Bears,Don Shy 1 yard rush (Mac Percival kick),7,0
1,1.0,Bears,Mac Percival 30 yard field goal,10,0
2,2.0,Falcons,Paul Gipson 20 yard pass from Bob Berry (Ken Vinyard kick),10,7
3,2.0,Bears,Mac Percival 47 yard field goal,13,7
4,3.0,Falcons,Jim Mitchell 17 yard pass from Bob Berry (Ken Vinyard kick),13,14
5,3.0,Bears,Cecil Turner 94 yard kickoff return (Mac Percival kick),20,14
6,4.0,Bears,Mac Percival 31 yard field goal,23,14
