,Quarter,Time,Tm,Detail,JAX,DEN
0,1.0,,Broncos,Terrell Davis 2 yard rush (Jason Elam kick),0,7
1,1.0,,Broncos,Rod Smith 43 yard pass from John Elway (Jason Elam kick),0,14
2,2.0,,Broncos,Terrell Davis 5 yard rush (Jason Elam kick),0,21
3,2.0,,Jaguars,Natrone Means 2 yard rush (Mike Hollis kick),7,21
4,3.0,,Jaguars,Mike Hollis 38 yard field goal,10,21
5,3.0,,Jaguars,Travis Davis 29 yard blocked punt return (Mike Hollis kick),17,21
6,4.0,,Broncos,Derek Loville 25 yard rush (Jason Elam kick),17,28
7,4.0,,Broncos,Derek Loville 8 yard rush (Jason Elam kick),17,35
8,4.0,,Broncos,Vaughn Hebron 6 yard rush (Jason Elam kick),17,42
