,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Willie Galimore 13 yard rush (George Blanda kick),7,0
1,1.0,Bears,Joe Fortunato 1 yard rush (George Blanda kick),14,0
2,2.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),14,7
3,2.0,Bears,George Blanda 26 yard field goal,17,7
4,3.0,49ers,Bill Herchman 54 yard interception return (Gordie Soltau kick),17,14
5,4.0,49ers,Billy Wilson 11 yard pass from Y.A. Tittle (Gordie Soltau kick),17,21
