,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,7:24,Vikings,Chester Taylor 2 yard rush (Ryan Longwell kick),0,7
1,1.0,1:57,Lions,Jason Hanson 37 yard field goal,3,7
2,2.0,11:23,Vikings,Adrian Peterson 16 yard rush (Ryan Longwell kick),3,14
3,2.0,9:37,Lions,Casey Fitzsimmons 1 yard pass from Jon Kitna (Jason Hanson kick),10,14
4,2.0,9:23,Vikings,Aundrae Allison 103 yard kickoff return (Ryan Longwell kick),10,21
5,2.0,2:17,Vikings,Bobby Wade 6 yard pass from Tarvaris Jackson (Ryan Longwell kick),10,28
6,2.0,0:05,Vikings,Sidney Rice 2 yard pass from Tarvaris Jackson (Ryan Longwell kick),10,35
7,3.0,10:06,Vikings,Adrian Peterson 13 yard rush (Ryan Longwell kick),10,42
