,Quarter,Time,Tm,Detail,BAL,HOU
0,1.0,1:18,Ravens,Justin Tucker 32 yard field goal,3,0
1,2.0,13:00,Ravens,Patrick Ricard 1 yard pass from Lamar Jackson (Justin Tucker kick),10,0
2,2.0,9:50,Texans,Darren Fells 10 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,7
3,2.0,5:35,Ravens,Justin Tucker 39 yard field goal,13,7
4,2.0,5:26,Ravens,L.J. Fort 22 yard fumble return (Justin Tucker kick),20,7
5,2.0,0:03,Texans,Ka'imi Fairbairn 44 yard field goal,20,10
6,3.0,6:28,Ravens,Justin Tucker 47 yard field goal,23,10
7,4.0,14:50,Texans,Ka'imi Fairbairn 35 yard field goal,23,13
8,4.0,12:04,Ravens,Mark Ingram 30 yard rush (Justin Tucker kick),30,13
9,4.0,8:17,Texans,Ka'imi Fairbairn 45 yard field goal,30,16
10,4.0,3:47,Ravens,Justin Tucker 20 yard field goal,33,16
