,Quarter,Time,Tm,Detail,BUF,NYG
0,1,,Giants,Brad Daluiso 22 yard field goal,0,3
1,2,,Giants,Amani Toomer 87 yard punt return (Brad Daluiso kick),0,10
2,2,,Giants,Charles Way 37 yard pass from Dave Brown (Brad Daluiso kick),0,17
3,2,,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),7,17
4,3,,Giants,Brad Daluiso 34 yard field goal,7,20
5,3,,Bills,Steve Christie 28 yard field goal,10,20
6,3,,Bills,Andre Reed 60 yard pass from Jim Kelly (Steve Christie kick),17,20
7,4,,Bills,Steve Christie 39 yard field goal,20,20
8,OT,,Bills,Steve Christie 34 yard field goal,23,20
