,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,12:11,Giants,Andre Williams 1 yard rush (Josh Brown kick),0,7
1,1.0,11:00,Eagles,Jordan Matthews 44 yard pass from Mark Sanchez (Cody Parkey kick),7,7
2,1.0,6:12,Eagles,Brent Celek 1 yard pass from Mark Sanchez (Cody Parkey kick),14,7
3,1.0,2:11,Giants,Josh Brown 38 yard field goal,14,10
4,2.0,7:26,Giants,Josh Brown 20 yard field goal,14,13
5,2.0,2:02,Giants,Josh Brown 36 yard field goal,14,16
6,2.0,0:00,Eagles,Cody Parkey 32 yard field goal,17,16
7,3.0,12:21,Eagles,Trey Burton 27 yard blocked punt return (Cody Parkey kick),24,16
8,3.0,4:24,Giants,Josh Brown 53 yard field goal,24,19
9,4.0,13:08,Eagles,Chris Polk 1 yard rush (Cody Parkey kick),31,19
10,4.0,11:47,Giants,Odell Beckham Jr. 63 yard pass from Eli Manning (Josh Brown kick),31,26
11,4.0,7:56,Eagles,Cody Parkey 39 yard field goal,34,26
