,Quarter,Time,Tm,Detail,TEN,SEA
0,1.0,,Oilers,Al Del Greco 26 yard field goal,3,0
1,2.0,,Oilers,Al Del Greco 30 yard field goal,6,0
2,2.0,0:07,Seahawks,Todd Peterson 50 yard field goal,6,3
3,3.0,0:07,Seahawks,Joey Galloway 7 yard pass from Jon Kitna (Todd Peterson kick),6,10
4,4.0,0:07,Oilers,Al Del Greco 43 yard field goal,9,10
5,4.0,0:07,Seahawks,James McKnight 55 yard pass from Jon Kitna (Todd Peterson kick),9,17
6,4.0,0:07,Oilers,Steve McNair 3 yard rush (run failed),15,17
7,4.0,0:37,Oilers,Al Del Greco 42 yard field goal,18,17
8,4.0,0:06,Seahawks,Todd Peterson 48 yard field goal,18,20
