,Quarter,Tm,Detail,IND,NYJ
0,1.0,Colts,Dean Biasucci 35 yard field goal,3,0
1,1.0,Jets,Rob Moore 6 yard pass from Ken O'Brien (Pat Leahy kick),3,7
2,2.0,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),3,14
3,2.0,Colts,Clarence Verdin 23 yard pass from Jeff George (Dean Biasucci kick),10,14
4,3.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),17,14
5,3.0,Colts,Eric Dickerson 1 yard rush,23,14
6,4.0,Colts,Dean Biasucci 20 yard field goal,26,14
7,4.0,Colts,Dean Biasucci 37 yard field goal,29,14
8,4.0,Jets,Rob Moore 10 yard pass from Troy Taylor (Pat Leahy kick),29,21
