,Quarter,Tm,Detail,SFO,SEA
0,1.0,49ers,Jerry Rice 1 yard pass from Joe Montana (Mike Cofer kick),7,0
1,2.0,49ers,John Frank 13 yard pass from Joe Montana (Mike Cofer kick),14,0
2,2.0,49ers,Mike Cofer 21 yard field goal,17,0
3,3.0,49ers,Jerry Rice 69 yard pass from Joe Montana (Mike Cofer kick),24,0
4,3.0,49ers,Jerry Rice 60 yard pass from Joe Montana (Mike Cofer kick),31,0
5,3.0,Seahawks,Ray Butler 46 yard pass from Kelly Stouffer (Norm Johnson kick),31,7
6,4.0,49ers,Mike Wilson 16 yard pass from Steve Young (Mike Cofer kick),38,7
