,Quarter,Tm,Detail,NYG,RAM
0,1.0,Rams,Tom Moore 11 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),0,14
2,2.0,Giants,Henry Carr 101 yard interception return (Pete Gogolak kick),7,14
3,2.0,Rams,Bruce Gossett 12 yard field goal,7,17
4,2.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),7,24
5,3.0,Rams,Bruce Gossett 15 yard field goal,7,27
6,3.0,Rams,Irv Cross 60 yard interception return (Bruce Gossett kick),7,34
7,4.0,Rams,Tom Moore 4 yard pass from Roman Gabriel (Bruce Gossett kick),7,41
8,4.0,Giants,Joe Morrison 25 yard pass from Tom Kennedy (Pete Gogolak kick),14,41
9,4.0,Rams,Les Josephson 4 yard pass from Bill Munson (Bruce Gossett kick),14,48
10,4.0,Rams,Bucky Pope 14 yard pass from Bill Munson (Bruce Gossett kick),14,55
