,Quarter,Time,Tm,Detail,WAS,NYG
0,1.0,,Giants,Dave Meggett 2 yard rush (David Treadwell kick),0,7
1,1.0,,Redskins,Chip Lohmiller 25 yard field goal,3,7
2,1.0,,Giants,David Treadwell 34 yard field goal,3,10
3,2.0,,Redskins,Henry Ellard 3 yard pass from John Friesz (Chip Lohmiller kick),10,10
4,2.0,,Redskins,Chip Lohmiller 41 yard field goal,13,10
5,2.0,,Giants,Mike Sherrard 30 yard pass from Dave Brown (David Treadwell kick),13,17
6,2.0,,Redskins,Ethan Horton 4 yard pass from John Friesz (Chip Lohmiller kick),20,17
7,3.0,,Giants,Aaron Pierce 16 yard pass from Dave Meggett (David Treadwell kick),20,24
8,4.0,,Redskins,Chip Lohmiller 35 yard field goal,23,24
9,4.0,,Giants,Dave Meggett 1 yard rush (David Treadwell kick),23,31
