,Quarter,Tm,Detail,CHI,MIN
0,1.0,Vikings,Darrin Nelson 6 yard rush (Fuad Reveiz kick),0,7
1,2.0,Bears,Neal Anderson 6 yard rush (Kevin Butler kick),7,7
2,2.0,Bears,Anthony Morgan 7 yard pass from Jim Harbaugh (Kevin Butler kick),14,7
3,2.0,Vikings,Fuad Reveiz 20 yard field goal,14,10
4,2.0,Bears,Kevin Butler 50 yard field goal,17,10
5,3.0,Bears,Kevin Butler 41 yard field goal,20,10
6,3.0,Vikings,Anthony Carter 29 yard pass from Rich Gannon (Fuad Reveiz kick),20,17
7,4.0,Bears,Neal Anderson 24 yard rush (Kevin Butler kick),27,17
8,4.0,Bears,Lemuel Stinson 34 yard interception return (Kevin Butler kick),34,17
