,Quarter,Tm,Detail,OAK,KAN
0,2.0,Raiders,Raymond Chester 4 yard pass from Ken Stabler (Errol Mann kick),7,0
1,3.0,Chiefs,Jan Stenerud 42 yard field goal,7,3
2,4.0,Raiders,Arthur Whittington 25 yard rush (Errol Mann kick),14,3
3,4.0,Chiefs,Tony Reed 14 yard pass from Mike Livingston (Jan Stenerud kick),14,10
4,4.0,Raiders,Mark van Eeghen 1 yard rush,20,10
