,Quarter,Tm,Detail,HOU,SFO
0,1.0,Oilers,Skip Butler 27 yard field goal,3,0
1,2.0,49ers,Steve Mike-Mayer 42 yard field goal,3,3
2,2.0,Oilers,Skip Butler 30 yard field goal,6,3
3,2.0,49ers,Larry Schreiber 1 yard rush (Steve Mike-Mayer kick),6,10
4,3.0,49ers,Steve Mike-Mayer 41 yard field goal,6,13
5,3.0,Oilers,Don Hardeman 1 yard rush (Skip Butler kick),13,13
6,4.0,Oilers,Willie Rodgers 1 yard rush (Skip Butler kick),20,13
7,4.0,Oilers,Ronnie Coleman 2 yard rush (Skip Butler kick),27,13
